Iteration:1, Time:75ms, TotalError:0.55437, ErrorChange:0.55437
Iteration:2, Time:29ms, TotalError:0.58893377, ErrorChange:0.03456378
Iteration:3, Time:34ms, TotalError:0.6037325, ErrorChange:0.01479876
Iteration:4, Time:25ms, TotalError:0.6065874, ErrorChange:0.0028548837
Iteration:5, Time:2ms, TotalError:0.608502, ErrorChange:0.0019145608
Iteration:6, Time:3ms, TotalError:0.61099714, ErrorChange:0.0024951696
Iteration:7, Time:3ms, TotalError:0.6138044, ErrorChange:0.0028072596
Iteration:8, Time:3ms, TotalError:0.61675614, ErrorChange:0.0029517412
Iteration:9, Time:2ms, TotalError:0.61975574, ErrorChange:0.0029996037
Iteration:10, Time:2ms, TotalError:0.6224115, ErrorChange:0.0026557446
Iteration:11, Time:3ms, TotalError:0.6242374, ErrorChange:0.0018259287
Iteration:12, Time:2ms, TotalError:0.6250603, ErrorChange:8.229017E-4
Iteration:13, Time:2ms, TotalError:0.62492245, ErrorChange:-1.3786554E-4
Iteration:14, Time:2ms, TotalError:0.6236857, ErrorChange:-0.0012367368
Iteration:15, Time:1ms, TotalError:0.6209478, ErrorChange:-0.0027379394
Iteration:16, Time:1ms, TotalError:0.6168551, ErrorChange:-0.0040926933
Iteration:17, Time:1ms, TotalError:0.613261, ErrorChange:-0.0035941005
Iteration:18, Time:1ms, TotalError:0.61107546, ErrorChange:-0.0021855235
Iteration:19, Time:1ms, TotalError:0.6101007, ErrorChange:-9.7477436E-4
Iteration:20, Time:1ms, TotalError:0.6107526, ErrorChange:6.51896E-4
Iteration:21, Time:2ms, TotalError:0.613246, ErrorChange:0.002493441
Iteration:22, Time:2ms, TotalError:0.61715114, ErrorChange:0.0039051175
Iteration:23, Time:1ms, TotalError:0.6212955, ErrorChange:0.0041443706
Iteration:24, Time:1ms, TotalError:0.6239843, ErrorChange:0.0026887655
Iteration:25, Time:2ms, TotalError:0.6243266, ErrorChange:3.4230947E-4
Iteration:26, Time:2ms, TotalError:0.62315613, ErrorChange:-0.0011704564
Iteration:27, Time:2ms, TotalError:0.62144536, ErrorChange:-0.0017107725
Iteration:28, Time:2ms, TotalError:0.6193308, ErrorChange:-0.0021145344
Iteration:29, Time:1ms, TotalError:0.6163016, ErrorChange:-0.0030292273
Iteration:30, Time:1ms, TotalError:0.61151785, ErrorChange:-0.0047837496
Iteration:31, Time:2ms, TotalError:0.6048831, ErrorChange:-0.006634772
Iteration:32, Time:1ms, TotalError:0.5974448, ErrorChange:-0.007438302
Iteration:33, Time:1ms, TotalError:0.58994585, ErrorChange:-0.00749892
Iteration:34, Time:1ms, TotalError:0.58193815, ErrorChange:-0.008007705
Iteration:35, Time:2ms, TotalError:0.5725039, ErrorChange:-0.009434223
Iteration:36, Time:1ms, TotalError:0.56098884, ErrorChange:-0.011515081
Iteration:37, Time:1ms, TotalError:0.54723704, ErrorChange:-0.013751805
Iteration:38, Time:2ms, TotalError:0.53161144, ErrorChange:-0.015625596
Iteration:39, Time:1ms, TotalError:0.514882, ErrorChange:-0.016729414
Iteration:40, Time:2ms, TotalError:0.4979927, ErrorChange:-0.016889334
Iteration:41, Time:2ms, TotalError:0.4817684, ErrorChange:-0.016224295
Iteration:42, Time:2ms, TotalError:0.46666452, ErrorChange:-0.015103877
Iteration:43, Time:1ms, TotalError:0.45264858, ErrorChange:-0.014015943
Iteration:44, Time:1ms, TotalError:0.43919942, ErrorChange:-0.013449162
Iteration:45, Time:1ms, TotalError:0.42550746, ErrorChange:-0.013691962
Iteration:46, Time:2ms, TotalError:0.4108965, ErrorChange:-0.014610946
Iteration:47, Time:2ms, TotalError:0.39522064, ErrorChange:-0.015675873
Iteration:48, Time:1ms, TotalError:0.3787916, ErrorChange:-0.016429037
Iteration:49, Time:1ms, TotalError:0.3618542, ErrorChange:-0.016937405
Iteration:50, Time:2ms, TotalError:0.34420177, ErrorChange:-0.017652422
Iteration:51, Time:2ms, TotalError:0.32524446, ErrorChange:-0.018957317
Iteration:52, Time:2ms, TotalError:0.30444703, ErrorChange:-0.020797431
Iteration:53, Time:2ms, TotalError:0.281822, ErrorChange:-0.02262503
Iteration:54, Time:2ms, TotalError:0.25796407, ErrorChange:-0.023857921
Iteration:55, Time:2ms, TotalError:0.23367432, ErrorChange:-0.024289757
Iteration:56, Time:1ms, TotalError:0.20970915, ErrorChange:-0.023965165
Iteration:57, Time:2ms, TotalError:0.18675885, ErrorChange:-0.022950307
Iteration:58, Time:1ms, TotalError:0.16544959, ErrorChange:-0.021309257
Iteration:59, Time:1ms, TotalError:0.14627226, ErrorChange:-0.019177333
Iteration:60, Time:2ms, TotalError:0.12949009, ErrorChange:-0.016782165
Iteration:61, Time:1ms, TotalError:0.115111925, ErrorChange:-0.014378168
Iteration:62, Time:2ms, TotalError:0.10294852, ErrorChange:-0.012163408
Iteration:63, Time:1ms, TotalError:0.09270748, ErrorChange:-0.010241039
Iteration:64, Time:2ms, TotalError:0.084073305, ErrorChange:-0.008634172
Iteration:65, Time:2ms, TotalError:0.07675354, ErrorChange:-0.0073197633
Iteration:66, Time:1ms, TotalError:0.070497714, ErrorChange:-0.006255828
Iteration:67, Time:1ms, TotalError:0.06510046, ErrorChange:-0.0053972527
Iteration:68, Time:1ms, TotalError:0.06039758, ErrorChange:-0.004702881
Iteration:69, Time:1ms, TotalError:0.056259785, ErrorChange:-0.0041377954
Iteration:70, Time:1ms, TotalError:0.052586317, ErrorChange:-0.0036734678
Iteration:71, Time:1ms, TotalError:0.049299203, ErrorChange:-0.0032871142
Iteration:72, Time:2ms, TotalError:0.0463384, ErrorChange:-0.0029608011
Iteration:73, Time:1ms, TotalError:0.043658074, ErrorChange:-0.0026803277
Iteration:74, Time:2ms, TotalError:0.041222934, ErrorChange:-0.0024351403
Iteration:75, Time:1ms, TotalError:0.03900571, ErrorChange:-0.002217222
Iteration:76, Time:2ms, TotalError:0.036984738, ErrorChange:-0.0020209737
Iteration:77, Time:1ms, TotalError:0.035142098, ErrorChange:-0.0018426403
Iteration:78, Time:2ms, TotalError:0.03346228, ErrorChange:-0.0016798191
Iteration:79, Time:2ms, TotalError:0.0319313, ErrorChange:-0.0015309788
Iteration:80, Time:1ms, TotalError:0.030536162, ErrorChange:-0.001395138
Iteration:81, Time:1ms, TotalError:0.029264586, ErrorChange:-0.0012715757
Iteration:82, Time:1ms, TotalError:0.028105056, ErrorChange:-0.0011595301
Iteration:83, Time:1ms, TotalError:0.027046654, ErrorChange:-0.0010584015
Iteration:84, Time:1ms, TotalError:0.026079433, ErrorChange:-9.6722133E-4
Iteration:85, Time:1ms, TotalError:0.025194198, ErrorChange:-8.8523515E-4
Iteration:86, Time:2ms, TotalError:0.024382675, ErrorChange:-8.115228E-4
Iteration:87, Time:1ms, TotalError:0.023637451, ErrorChange:-7.4522384E-4
Iteration:88, Time:2ms, TotalError:0.022951933, ErrorChange:-6.855186E-4
Iteration:89, Time:1ms, TotalError:0.022320265, ErrorChange:-6.316677E-4
Iteration:90, Time:2ms, TotalError:0.021737263, ErrorChange:-5.8300234E-4
Iteration:91, Time:1ms, TotalError:0.021198394, ErrorChange:-5.3886883E-4
